Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides IEF1_1	Peptides IEF1_2	Peptides IEF2_1	Peptides IEF2_2	Razor + unique peptides IEF1_1	Razor + unique peptides IEF1_2	Razor + unique peptides IEF2_1	Razor + unique peptides IEF2_2	Unique peptides IEF1_1	Unique peptides IEF1_2	Unique peptides IEF2_1	Unique peptides IEF2_2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Fraction 15	Fraction 16	Fraction 17	Fraction 18	Fraction 19	Fraction 20	Fraction 21	Fraction 22	Fraction 23	Fraction 24	Q-value	Score	Identification type IEF1_1	Identification type IEF1_2	Identification type IEF2_1	Identification type IEF2_2	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L IEF1_1	Ratio H/L IEF1_2	Ratio H/L IEF2_1	Ratio H/L IEF2_2	Ratio H/L normalized IEF1_1	Ratio H/L normalized IEF1_2	Ratio H/L normalized IEF2_1	Ratio H/L normalized IEF2_2	Ratio H/L variability [%] IEF1_1	Ratio H/L variability [%] IEF1_2	Ratio H/L variability [%] IEF2_1	Ratio H/L variability [%] IEF2_2	Ratio H/L count IEF1_1	Ratio H/L count IEF1_2	Ratio H/L count IEF2_1	Ratio H/L count IEF2_2	Ratio H/L iso-count IEF1_1	Ratio H/L iso-count IEF1_2	Ratio H/L iso-count IEF2_1	Ratio H/L iso-count IEF2_2	Ratio H/L type IEF1_1	Ratio H/L type IEF1_2	Ratio H/L type IEF2_1	Ratio H/L type IEF2_2	Sequence coverage IEF1_1 [%]	Sequence coverage IEF1_2 [%]	Sequence coverage IEF2_1 [%]	Sequence coverage IEF2_2 [%]	Intensity	Intensity L	Intensity H	Intensity IEF1_1	Intensity L IEF1_1	Intensity H IEF1_1	Intensity IEF1_2	Intensity L IEF1_2	Intensity H IEF1_2	Intensity IEF2_1	Intensity L IEF2_1	Intensity H IEF2_1	Intensity IEF2_2	Intensity L IEF2_2	Intensity H IEF2_2	Only identified by site	Reverse	Potential contaminant	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	genename	Fastas	Human_GN	UniprotID	Normalized Ratio L/H	Normalized Ratio L/H IEF1_1	Normalized Ratio L/H IEF1_2	Normalized Ratio L/H IEF2_1	Normalized Ratio L/H IEF2_2	significant
O60825;P70265;Q9JJH5;Q5NVT1;P26285	O60825;P70265;Q9JJH5;Q5NVT1;P26285	2;2;2;1;1	2;2;2;1;1	2;2;2;1;1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase	PFKFB2;Pfkfb2	sp|O60825|F262_HUMAN 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Homo sapiens GN=PFKFB2 PE=1 SV=2;sp|P70265|F262_MOUSE 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Mus musculus GN=Pfkfb2 PE=1 SV=2;sp|Q9JJH5|F262_RAT 6-phosphofruc	5	2	2	2	2	1	2	0	2	1	2	0	2	1	2	0	4.4	4.4	4.4	58.476000000000006	505	505;519;557;530;531	7.4					2.0				3.0																0.0	11.912	By MS/MS	By MS/MS	By matching		0.89151	1.2586	6.8485	5	0	Leave out requantified	0.8034399999999999		0.9858		1.1098		1.4822		7.1868		1.1771		2	1	2	0	0	0	0	0	Median	Median	Median	Median	4.4	2.2	4.4	0.0	229390000	122240000	107150000	69500000	38428000	31071000	116550000	61318000	55229000	43342000	22490000	20852000	0	0	0				7785;15624	True;True	8165;16735	52275;52276;52277;103745;103746	44381;44382;44383;87207	44383;87207			PFKFB2	['sp|O60825|F262_HUMAN 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Homo sapiens GN=PFKFB2 PE=1 SV=2', 'sp|P70265|F262_MOUSE 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Mus musculus GN=Pfkfb2 PE=1 SV=2', 'sp|Q9JJH5|F262_RAT 6-phosphofruc']	PFKFB2	O60825	-0.32643185762240967	-0.13574665499518127		-0.5445278569465182		True
O60888;P69678;Q9CQ89;Q6MGD0	O60888	3;1;1;1	3;1;1;1	3;1;1;1	Protein CutA	CUTA	sp|O60888|CUTA_HUMAN Protein CutA OS=Homo sapiens GN=CUTA PE=1 SV=2	4	3	3	3	3	3	1	1	3	3	1	1	3	3	1	1	33.0	33.0	33.0	19.116	179	179;176;177;177	14.0						4.0	2.0					2.0	2.0	3.0	2.0	4.0	3.0	3.0	4.0						0.0	18.44	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.93374	1.2833	5.0423	29	0	Leave out requantified	0.92891	0.9607100000000001	1.0375		1.2807	1.3099	1.5392		5.4483	9.0047	0.9179700000000001		13	13	2	1	0	0	0	0	Leave out requantified	Leave out requantified	Median	Median	33.0	33.0	7.8	7.8	2599700000	1337500000	1262200000	1645500000	855870000	789640000	563200000	289510000	273690000	206210000	99791000	106420000	184780000	92362000	92417000				11086;19148;20329	True;True;True	11669;20465;21732	73282;73283;73284;73285;73286;73287;73288;73289;73290;73291;73292;73293;73294;73295;73296;73297;123707;123708;123709;123710;123711;123712;131261;131262;131263;131264;131265;131266;131267	61702;61703;61704;61705;104577;104578;104579;104580;104581;111400;111401;111402;111403;111404;111405;111406;111407;111408	61705;104580;111407			CUTA	['sp|O60888|CUTA_HUMAN Protein CutA OS=Homo sapiens GN=CUTA PE=1 SV=2']	CUTA	O60888	-0.39320176435045373	-0.345095189825385	-0.3934502405831736	-0.6182723072842996		True
P05979;O62664;P23219;P22437	P05979;O62664;P23219;P22437	1;1;1;1	1;1;1;1	1;1;1;1	Prostaglandin G/H synthase 1	PTGS1;Ptgs1	sp|P05979|PGH1_SHEEP Prostaglandin G/H synthase 1 OS=Ovis aries GN=PTGS1 PE=1 SV=2;sp|O62664|PGH1_BOVIN Prostaglandin G/H synthase 1 OS=Bos taurus GN=PTGS1 PE=2 SV=2;sp|P23219|PGH1_HUMAN Prostaglandin G/H synthase 1 OS=Homo sapiens GN=PTGS1 PE=1 SV=2;sp|P2	4	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	3.0	3.0	3.0	68.791	600	600;600;599;602	13.0													3.0												0.007265000000000001	5.874		By matching	By MS/MS	By matching	2.1334	3.1617	30.954	3	0	Median													0	1	1	1	0	0	0	0	Median	Median	Median	Median	0.0	3.0	3.0	3.0	295560000	96739000	198820000	0	0	0	115820000	37071000	78744000	75626000	20358000	55268000	104120000	39310000	64808000				1100	True	1160	8169;8170;8171	6895;6896	6896			PTGS1	['sp|P05979|PGH1_SHEEP Prostaglandin G/H synthase 1 OS=Ovis aries GN=PTGS1 PE=1 SV=2', 'sp|O62664|PGH1_BOVIN Prostaglandin G/H synthase 1 OS=Bos taurus GN=PTGS1 PE=2 SV=2', 'sp|P23219|PGH1_HUMAN Prostaglandin G/H synthase 1 OS=Homo sapiens GN=PTGS1 PE=1 SV=2', 'sp|P2']	PTGS1	P05979	-1.5852634598750586					True
P08991;Q6YNC8;Q6Y237;Q5ZMD6;Q5RC42;Q32LA7;P22647;P0C0S4;P02272;O62695;Q71UI9;Q71PD7;Q6GM74;Q5BJ65;Q3THW5;P0C0S7;P0C0S6;P0C0S5;P08985	P08991;Q6YNC8;Q6Y237;Q5ZMD6;Q5RC42;Q32LA7;P22647;P0C0S4;P02272;O62695;Q71UI9;Q71PD7;Q6GM74;Q5BJ65;Q3THW5;P0C0S7;P0C0S6;P0C0S5;P08985	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	Histone H2A.V;Histone H2A.Z;Histone H2A.v	H2AFV;h2afv;H2afv;H2afz;H2AFZ;His2Av	sp|P08991|H2AV_STRPU Histone H2A.V (Fragment) OS=Strongylocentrotus purpuratus GN=H2A.F/Z PE=1 SV=1;sp|Q6YNC8|H2AZ_SHEEP Histone H2A.Z OS=Ovis aries GN=H2AFZ PE=2 SV=3;sp|Q6Y237|H2AV_PAGMA Histone H2A.V OS=Pagrus major GN=h2afv PE=2 SV=3;sp|Q5ZMD6|H2AZ_CHI	19	4	2	2	4	3	2	3	2	2	1	2	2	2	1	2	20.8	13.6	13.6	13.164000000000001	125	125;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;141	4.5	4.0					6.0	2.0																		0.0	11.797	By MS/MS	By MS/MS	By matching	By MS/MS	0.57323	0.77523	43.541000000000004	12	0	Leave out requantified	0.7245	0.7642		0.61322	0.9970399999999999	1.0534		0.9161299999999999	8.8505	2.2917		54.408	4	4	1	3	0	0	0	0	Leave out requantified	Leave out requantified	Median	Plateau	20.8	13.6	15.2	20.8	3421800000	1935800000	1486100000	1210100000	675970000	534130000	1927800000	1078900000	848930000	17400000	13744000	3656400	266500000	167160000	99337000				709;6272;8053;8054	False;True;False;True	747;6572;8452;8453	5380;5381;5382;5383;41528;41529;41530;41531;53698;53699;53700;53701;53702;53703;53704;53705;53706;53707;53708;53709;53710	4539;4540;35324;45575;45576;45577;45578;45579;45580;45581;45582;45583	4539;35324;45575;45578			H2AFV	['sp|P08991|H2AV_STRPU Histone H2A.V (Fragment) OS=Strongylocentrotus purpuratus GN=H2A.F/Z PE=1 SV=1', 'sp|Q6YNC8|H2AZ_SHEEP Histone H2A.Z OS=Ovis aries GN=H2AFZ PE=2 SV=3', 'sp|Q6Y237|H2AV_PAGMA Histone H2A.V OS=Pagrus major GN=h2afv PE=2 SV=3', 'sp|Q5ZMD6|H2AZ_CHI']	H2AFV	P08991	0.3107050078785483	0.01345794429468361	-0.06329949360824165		0.13499469674338932	True
Q5REQ5;Q9WUF4;Q9BV40;O70404;Q3T0Y8	Q5REQ5;Q9WUF4;Q9BV40;O70404;Q3T0Y8	2;2;2;2;1	2;2;2;2;1	2;2;2;2;1	Vesicle-associated membrane protein 8	Vamp8;VAMP8	sp|Q5REQ5|VAMP8_PONAB Vesicle-associated membrane protein 8 OS=Pongo abelii GN=VAMP8 PE=3 SV=1;sp|Q9WUF4|VAMP8_RAT Vesicle-associated membrane protein 8 OS=Rattus norvegicus GN=Vamp8 PE=1 SV=1;sp|Q9BV40|VAMP8_HUMAN Vesicle-associated membrane protein 8 OS=	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	24.0	24.0	24.0	11.437999999999999	100	100;100;100;101;100	5.5				4.0			4.0																		0.0	11.925999999999998	By MS/MS	By matching	By matching	By MS/MS	0.51125	0.73598	1.8866	8	0	Leave out requantified	0.5335	0.57852	0.48695	0.48413	0.7429899999999999	0.8051	0.72235	0.7162	8.2906	14.617	5.0984	2.0032	2	2	2	2	0	0	0	0	Median	Median	Median	Median	24.0	24.0	24.0	24.0	1816900000	1178000000	638860000	496430000	320660000	175770000	490080000	314860000	175220000	310000000	202980000	107020000	520390000	339540000	180850000				15149;15307	True;True	16213;16387	101019;101020;101021;101022;101906;101907;101908;101909	84938;85675;85676	84938;85675			Vamp8	['sp|Q5REQ5|VAMP8_PONAB Vesicle-associated membrane protein 8 OS=Pongo abelii GN=VAMP8 PE=3 SV=1', 'sp|Q9WUF4|VAMP8_RAT Vesicle-associated membrane protein 8 OS=Rattus norvegicus GN=Vamp8 PE=1 SV=1', 'sp|Q9BV40|VAMP8_HUMAN Vesicle-associated membrane protein 8 OS=']	VAMP8	Q5REQ5	0.4757901848650002	0.45495536302718814	0.3382839285192258	0.4729934800000057	0.47600495140258803	True
O75027;Q704E8;Q61102	O75027;Q704E8;Q61102	4;3;3	4;3;3	4;3;3	ATP-binding cassette sub-family B member 7, mitochondrial	ABCB7;Abcb7	sp|O75027|ABCB7_HUMAN ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2;sp|Q704E8|ABCB7_RAT ATP-binding cassette sub-family B member 7, mitochondrial OS=Rattus norvegicus GN=Abcb7 PE=1 SV=1;sp|Q61102|ABCB7_MOUSE A	3	4	4	4	2	2	1	3	2	2	1	3	2	2	1	3	6.6	6.6	6.6	82.64	752	752;752;752	14.0			1.0		2.0	2.0											1.0	4.0	4.0	1.0					0.0	24.101999999999997	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.88379	1.2204	10.232999999999999	11	0	Leave out requantified	0.92901	0.8940600000000001		0.6404	1.2789	1.2428		0.9445100000000001	8.1717	20.34		12.145999999999999	4	4	1	2	0	0	0	0	Leave out requantified	Leave out requantified	Median	Median	5.2	5.2	1.3	2.8	540080000	297340000	242740000	199030000	104090000	94940000	244970000	117200000	127770000	27365000	14371000	12994000	68725000	61686000	7038800				645;10686;13084;21873	True;True;True;True	678;11253;13792;23364	4781;4782;4783;4784;4785;4786;4787;70996;70997;70998;87053;142174;142175;142176;142177	4055;59968;59969;59970;72817;120629;120630	4055;59968;72817;120629			ABCB7	['sp|O75027|ABCB7_HUMAN ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2', 'sp|Q704E8|ABCB7_RAT ATP-binding cassette sub-family B member 7, mitochondrial OS=Rattus norvegicus GN=Abcb7 PE=1 SV=1', 'sp|Q61102|ABCB7_MOUSE A']	ABCB7	O75027	-0.3138844843103718	-0.34525049199579955	-0.28972088924291867		0.07242613975133982	True
Q2NL34;Q68FT1;Q8K1Z0;O75208	Q2NL34;Q68FT1;Q8K1Z0;O75208	1;1;1;1	1;1;1;1	1;1;1;1	Ubiquinone biosynthesis protein COQ9, mitochondrial	Coq9;COQ9	sp|Q2NL34|COQ9_BOVIN Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Bos taurus GN=COQ9 PE=2 SV=1;sp|Q68FT1|COQ9_RAT Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Rattus norvegicus GN=Coq9 PE=2 SV=2;sp|Q8K1Z0|COQ9_MOUSE Ubiquinone biosynthe	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.6	5.6	5.6	35.778	319	319;312;313;318	14.4												1.0		2.0	5.0										0.0062442	5.9252	By MS/MS	By MS/MS	By matching	By matching	1.0095	1.361	16.143	8	0	Median	1.0396	1.0796			1.4154	1.4456			12.640999999999998	4.173			4	2	1	1	0	0	0	0	Median	Median	Median	Median	5.6	5.6	5.6	5.6	120530000	60862000	59669000	73522000	36765000	36757000	33873000	16459000	17414000	4922300	2641700	2280600	8213900	4996400	3217400				19019	True	20332	122982;122983;122984;122985;122986;122987;122988;122989	103985;103986;103987	103987			Coq9	['sp|Q2NL34|COQ9_BOVIN Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Bos taurus GN=COQ9 PE=2 SV=1', 'sp|Q68FT1|COQ9_RAT Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Rattus norvegicus GN=Coq9 PE=2 SV=2', 'sp|Q8K1Z0|COQ9_MOUSE Ubiquinone biosynthe']	COQ9	Q2NL34	-0.5057498826373619	-0.5075129997332253	-0.5617742127175818			True
Q5RFN7;Q58DU7;Q4R7R5;O75368;Q9JJU8	Q5RFN7;Q58DU7;Q4R7R5;O75368	4;4;4;4;1	4;4;4;4;1	4;4;4;4;1	SH3 domain-binding glutamic acid-rich-like protein	SH3BGRL	sp|Q5RFN7|SH3L1_PONAB SH3 domain-binding glutamic acid-rich-like protein OS=Pongo abelii GN=SH3BGRL PE=3 SV=1;sp|Q58DU7|SH3L1_BOVIN SH3 domain-binding glutamic acid-rich-like protein OS=Bos taurus GN=SH3BGRL PE=3 SV=1;sp|Q4R7R5|SH3L1_MACFA SH3 domain-bindi	5	4	4	4	4	4	2	1	4	4	2	1	4	4	2	1	50.0	50.0	50.0	12.774000000000001	114	114;114;114;114;114	12.0		3.0	1.0		2.0			2.0	2.0							5.0	6.0	3.0							0.0	24.414	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.8797299999999999	1.2202	21.906999999999996	21	0	Leave out requantified	0.9322600000000001	0.8272200000000001	0.9018299999999999		1.2953	1.1592	1.3269		22.875	27.03	20.761		10	8	2	1	0	0	0	0	Leave out requantified	Leave out requantified	Median	Median	50.0	50.0	11.4	11.4	1269000000	621170000	647780000	706970000	325140000	381830000	352760000	193010000	159750000	106610000	50197000	56416000	102610000	52823000	49791000				4600;4626;10866;16537	True;True;True;True	4826;4853;11443;17705	31999;32000;32001;32002;32003;32004;32005;32104;32105;72027;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;108850;108851;108852;108853	27217;27218;27219;27220;27302;27303;27304;60710;60711;60712;60713;60714;60715;60716;91799;91800;91801;91802	27217;27302;60710;91799			SH3BGRL	['sp|Q5RFN7|SH3L1_PONAB SH3 domain-binding glutamic acid-rich-like protein OS=Pongo abelii GN=SH3BGRL PE=3 SV=1', 'sp|Q58DU7|SH3L1_BOVIN SH3 domain-binding glutamic acid-rich-like protein OS=Bos taurus GN=SH3BGRL PE=3 SV=1', 'sp|Q4R7R5|SH3L1_MACFA SH3 domain-bindi']	SH3BGRL	Q5RFN7	-0.3072416878415137	-0.35028873324842386	-0.17762030255213684	-0.41608837896152756		True
O75391	O75391	2	2	2	Sperm-associated antigen 7	SPAG7	sp|O75391|SPAG7_HUMAN Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	16.3	16.3	16.3	26.034000000000002	227	227	2.14	3.0		4.0																						0.0	12.793	By MS/MS	By MS/MS	By MS/MS	By matching	0.9554	1.3693	18.229	7	0	Leave out requantified	0.89474	0.86977		1.1019	1.2589	1.2245		1.6444	30.118000000000002	4.3669		27.795	2	2	1	2	0	0	0	0	Median	Median	Median	Median	16.3	16.3	6.2	16.3	175870000	91662000	84213000	58978000	28362000	30616000	58067000	32340000	25727000	12962000	6436500	6525600	45868000	24523000	21345000				374;5098	True;True	390;5342	3116;3117;3118;34801;34802;34803;34804	2621;2622;29613	2622;29613			SPAG7	['sp|O75391|SPAG7_HUMAN Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=2']	SPAG7	O75391	-0.42628575388979184	-0.2910248804730924	-0.24998318431282476		-0.7105219491852173	True
Q5RBR7;O75608	Q5RBR7;O75608	2;2	2;2	2;2	Acyl-protein thioesterase 1	LYPLA1	sp|Q5RBR7|LYPA1_PONAB Acyl-protein thioesterase 1 OS=Pongo abelii GN=LYPLA1 PE=2 SV=1;sp|O75608|LYPA1_HUMAN Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1	2	2	2	2	2	2	1	1	2	2	1	1	2	2	1	1	19.1	19.1	19.1	24.701	230	230;230	3.78	2.0	1.0			6.0																				0.0	12.186	By MS/MS	By MS/MS	By matching	By matching	0.95589	1.3313	4.8678	9	0	Leave out requantified	0.9924	0.9510299999999999			1.3583	1.3088			5.6182	5.4653			3	4	1	1	0	0	0	0	Median	Leave out requantified	Median	Median	19.1	19.1	7.8	7.8	305720000	152880000	152830000	74537000	38450000	36087000	176650000	84137000	92517000	25036000	15699000	9337400	29488000	14598000	14890000				2843;20724	True;True	2991;22154;22155	21121;21122;21123;133886;133887;133888;133889;133890;133891	17980;17981;17982;113835;113836;113837;113838	17981;113838	288	215	LYPLA1	['sp|Q5RBR7|LYPA1_PONAB Acyl-protein thioesterase 1 OS=Pongo abelii GN=LYPLA1 PE=2 SV=1', 'sp|O75608|LYPA1_HUMAN Acyl-protein thioesterase 1 OS=Homo sapiens GN=LYPLA1 PE=1 SV=1']	LYPLA1	Q5RBR7	-0.42702548526025197	-0.4404781011534555	-0.3788400871654045			True
O75718;Q9CYD3	O75718	3;1	3;1	3;1	Cartilage-associated protein	CRTAP	sp|O75718|CRTAP_HUMAN Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1	2	3	3	3	2	2	1	3	2	2	1	3	2	2	1	3	11.2	11.2	11.2	46.56100000000001	401	401;400	2.82	3.0		4.0	4.0																					0.0	17.644000000000002	By matching	By MS/MS	By MS/MS	By MS/MS	0.9546399999999999	1.3247	9.0347	11	0	Leave out requantified	0.9569799999999999	0.9546399999999999	0.96744	0.97425	1.3247	1.2906	1.4441	1.3868	7.7606	10.638	2.6238	14.522	3	3	2	3	0	0	0	0	Median	Median	Median	Leave out requantified	7.0	7.0	3.2	11.2	628170000	312590000	315580000	192440000	96084000	96355000	231880000	117650000	114230000	42874000	21045000	21829000	160980000	77810000	83166000				640;14683;20399	True;True;True	672;15724;21809	4733;4734;4735;4736;4737;4738;4739;98613;131692;131693;131694	4020;4021;4022;4023;4024;82810;82811;111779	4024;82811;111779			CRTAP	['sp|O75718|CRTAP_HUMAN Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1']	CRTAP	O75718	-0.4251376645419877	-0.3880451399527765	-0.384306023374192	-0.5174050649601609	-0.5328925787888028	True
Q2YDG3;Q2PG37;Q8CII2;Q62834;O75794;Q5BKN5;Q641C9	Q2YDG3;Q2PG37;Q8CII2;Q62834;O75794;Q5BKN5;Q641C9	3;3;3;3;3;2;2	3;3;3;3;3;2;2	3;3;3;3;3;2;2	Cell division cycle protein 123 homolog	Cdc123;CDC123;cdc123	sp|Q2YDG3|CD123_BOVIN Cell division cycle protein 123 homolog OS=Bos taurus GN=CDC123 PE=2 SV=1;sp|Q2PG37|CD123_MACFA Cell division cycle protein 123 homolog OS=Macaca fascicularis GN=CDC123 PE=2 SV=1;sp|Q8CII2|CD123_MOUSE Cell division cycle protein 123 h	7	3	3	3	2	3	1	2	2	3	1	2	2	3	1	2	10.1	10.1	10.1	38.922	335	335;336;336;336;336;335;338	7.27	1.0		4.0							1.0	3.0	2.0													0.0	17.794	By MS/MS	By MS/MS	By matching	By MS/MS	0.5411199999999999	0.7559600000000001	1.1063	10	0	Leave out requantified	0.56762	0.52247		0.49438000000000004	0.7791399999999999	0.70723		0.72282	3.4405	7.3661		12.185	3	4	1	2	0	0	0	0	Median	Leave out requantified	Median	Median	6.6	10.1	3.3	6.6	624680000	400760000	223910000	126650000	80043000	46604000	364240000	236660000	127570000	13172000	8337100	4835100	120620000	75717000	44901000				3473;5597;22658	True;True;True	3646;5862;24185	25727;25728;25729;25730;25731;25732;37660;147531;147532;147533;147534	21970;21971;31990;125181	21970;31990;125181			Cdc123	['sp|Q2YDG3|CD123_BOVIN Cell division cycle protein 123 homolog OS=Bos taurus GN=CDC123 PE=2 SV=1', 'sp|Q2PG37|CD123_MACFA Cell division cycle protein 123 homolog OS=Macaca fascicularis GN=CDC123 PE=2 SV=1', 'sp|Q8CII2|CD123_MOUSE Cell division cycle protein 123 h']	CDC123	Q2YDG3	0.39387055805885285	0.3655182106536169	0.4853025634367948		0.4457790669935781	True
Q5R9C5;O75874;Q9Z2K9;Q9Z2K8;Q9XSG3;Q6XUZ5;P41562;O88844;P50215;P9WKL1;P9WKL0;P65098	Q5R9C5;O75874	9;9;4;4;4;4;4;4;1;1;1;1	9;9;4;4;4;4;4;4;1;1;1;1	9;9;4;4;4;4;4;4;1;1;1;1	Isocitrate dehydrogenase [NADP] cytoplasmic	IDH1	sp|Q5R9C5|IDHC_PONAB Isocitrate dehydrogenase [NADP] cytoplasmic OS=Pongo abelii GN=IDH1 PE=2 SV=2;sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2	12	9	9	9	5	7	7	8	5	7	7	8	5	7	7	8	24.2	24.2	24.2	46.699	414	414;414;414;414;414;414;414;414;406;409;409;409	5.46	11.0	4.0	3.0	1.0	4.0	4.0							2.0	4.0		1.0	1.0								0.0	53.93899999999999	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.0253	1.5117	10.305	28	0	Leave out requantified	0.8699899999999999	0.87736	1.0677	1.0674	1.1842	1.197	1.5530000000000002	1.5794	18.904	17.456	8.2397	11.277000000000001	4	6	8	10	0	0	0	0	Leave out requantified	Leave out requantified	Leave out requantified	Leave out requantified	17.1	21.3	24.2	24.2	2634300000	1316500000	1317800000	555160000	300390000	254770000	902110000	489080000	413030000	309800000	143460000	166340000	867230000	383560000	483670000				1808;1809;9783;10502;12135;17749;20560;21101;22427	True;True;True;True;True;True;True;True;True	1903;1904;10310;11059;12781;18972;21980;22545;23945	14035;14036;14037;14038;14039;14040;65266;69880;69881;69882;80670;80671;80672;80673;80674;115215;115216;132628;132629;132630;132631;132632;136463;136464;136465;136466;136467;136468;136469;136470;146137;146138;146139;146140;146141	12021;12022;12023;12024;12025;12026;55174;59072;67723;67724;67725;96924;112584;112585;112586;112587;112588;115895;115896;115897;115898;115899;115900;115901;115902;115903;115904;115905;115906;123979	12021;12024;55174;59072;67723;96924;112584;115901;123979			IDH1	['sp|Q5R9C5|IDHC_PONAB Isocitrate dehydrogenase [NADP] cytoplasmic OS=Pongo abelii GN=IDH1 PE=2 SV=2', 'sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2']	IDH1	Q5R9C5	-0.5281550721248354	-0.2505551840875544	-0.26251816939886113	-0.6596673095062293	-0.6646295637207191	True
Q8K1Y2;O94806	Q8K1Y2;O94806	1;1	1;1	1;1	Serine/threonine-protein kinase D3	Prkd3;PRKD3	sp|Q8K1Y2|KPCD3_MOUSE Serine/threonine-protein kinase D3 OS=Mus musculus GN=Prkd3 PE=1 SV=1;sp|O94806|KPCD3_HUMAN Serine/threonine-protein kinase D3 OS=Homo sapiens GN=PRKD3 PE=1 SV=1	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	2.9	2.9	2.9	100.08	889	889;890	7.0							2.0																		0.0016713000000000001	6.1853	By MS/MS	By MS/MS			0.56374	0.76969	0.97359	2	0	Median													1	1	0	0	0	0	0	0	Median	Median	Median	Median	2.9	2.9	0.0	0.0	42445000	26440000	16005000	15868000	9836100	6032100	26577000	16604000	9973100	0	0	0	0	0	0				14883	True	15934	99617;99618	83746;83747	83746			Prkd3	['sp|Q8K1Y2|KPCD3_MOUSE Serine/threonine-protein kinase D3 OS=Mus musculus GN=Prkd3 PE=1 SV=1', 'sp|O94806|KPCD3_HUMAN Serine/threonine-protein kinase D3 OS=Homo sapiens GN=PRKD3 PE=1 SV=1']	PRKD3	Q8K1Y2	0.3347891858211961					True
